nr	Standard_concentration	Sample	Fucose	Rhamnose	Galactosamine	Arabinose	Glucosamine	Galactose	Glucose	Mannose	Xylose	Gluconic_acid	Muramic_acid	Galacturonic_acid	Glucuronic_acid	Mannuronic_acid	Iduronic_acid
163	NA	S-WC3I	90.216	n.a.	n.a.	n.a.	n.a.	69.487	n.a.	7.085	14.085	0.491	n.a.	n.a.	n.a.	n.a.	n.a.
164	NA	S-WC2I	9.610	n.a.	n.a.	n.a.	n.a.	16.881	n.a.	n.a.	n.a.	0.298	n.a.	n.a.	n.a.	n.a.	n.a.
165	NA	Extraction_blank_bremen	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.770	n.a.	n.a.	n.a.	n.a.	n.a.
166	NA	Extraction_blank_finland	3.968	n.a.	n.a.	n.a.	n.a.	63.711	n.a.	n.a.	n.a.	1.649	n.a.	n.a.	n.a.	n.a.	n.a.
167	NA	Extraction_blank_bremen	3.055	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.086	n.a.	n.a.	n.a.	n.a.	n.a.
168	NA	Dialysis_blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.181	n.a.	n.a.	n.a.	n.a.	n.a.
169	NA	Dialysis_blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.387	n.a.	n.a.	n.a.	n.a.	n.a.
170	NA	Dialysis_blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.921	n.a.	n.a.	n.a.	n.a.	n.a.
171	NA	Standard	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.970	n.a.	n.a.	n.a.	n.a.	n.a.
172	NA	Dialysis_blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.980	n.a.	n.a.	n.a.	n.a.	n.a.
173	NA	Dialysis_blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.128	n.a.	n.a.	n.a.	n.a.	n.a.
174	NA	Dialysis_blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.095	n.a.	n.a.	n.a.	n.a.	n.a.
175	NA	Dialysis_blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.292	n.a.	n.a.	n.a.	n.a.	n.a.
176	NA	Dialysis_blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.164	n.a.	n.a.	n.a.	n.a.	n.a.
																	
