No. 	Standard_concentration	Sample	Injection_Name	Amount	Amount	Amount	Amount 	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount 	Amount 	Area 	Area 	Area	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 
86	NA	S-WC4I	29c	70.379	n.a.	n.a.	n.a.	n.a.	116.705	n.a.	5.399	10.550	5.017	n.a.	n.a.	n.a.	9.6698	n.a.	0.107	0.009	0.023	0.006	0.017	0.284	0.089	0.044	0.051	0.002	n.a.	n.a.	0.002	n.a.	n.a.
87	0.0001	Standard	1:10.000 Std. Mix in HCl	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	11.461	n.a.	2.853	n.a.	14.6788	n.a.	0.012	0.006	0.030	0.012	0.028	0.028	0.067	0.020	0.017	0.004	0.002	0.001	0.002	n.a.	n.a.
88	NA	S-WC6I	33b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.999	n.a.	n.a.	n.a.	11.8687	n.a.	0.025	0.004	0.013	0.012	0.022	0.035	0.057	0.021	0.030	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
89	NA	S-WC4E	28b	375.789	n.a.	n.a.	n.a.	n.a.	613.462	n.a.	n.a.	15.057	3.606	n.a.	n.a.	n.a.	12.8823	n.a.	0.413	0.008	0.016	0.004	0.011	1.257	0.075	0.033	0.058	0.002	n.a.	n.a.	0.002	n.a.	n.a.
90	NA	A-WC5I	13c	38.683	n.a.	n.a.	n.a.	n.a.	98.487	n.a.	n.a.	n.a.	5.388	n.a.	n.a.	n.a.	11.2200	n.a.	0.076	0.004	0.013	0.004	0.013	0.249	0.063	0.028	0.031	0.002	n.a.	n.a.	0.001	n.a.	n.a.
91	NA	Dialysis_blank_concentrated	MQ 12b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	267.298	174.834	255.560	4.096	n.a.	n.a.	n.a.	16.4016	n.a.	0.001	n.a.	n.a.	n.a.	n.a.	0.018	0.625	0.242	0.436	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
92	NA	A-WC3I	9b	43.004	5.644	n.a.	n.a.	2.777	16.331	n.a.	n.a.	14.370	4.781	n.a.	3.237	n.a.	13.4942	n.a.	0.080	0.019	0.030	0.014	0.044	0.088	0.086	0.034	0.057	0.002	n.a.	0.001	0.002	n.a.	n.a.
93	NA	A-WC3E	8b	22.726	n.a.	n.a.	n.a.	n.a.	71.204	n.a.	n.a.	11.324	5.039	n.a.	2.000	n.a.	14.0849	n.a.	0.060	0.009	0.018	0.006	0.017	0.195	0.079	0.025	0.052	0.002	n.a.	0.001	0.001	n.a.	n.a.
94	NA	A-WC3E	8a	33.464	n.a.	n.a.	n.a.	n.a.	86.963	n.a.	n.a.	n.a.	4.393	n.a.	n.a.	n.a.	17.1739	n.a.	0.070	0.006	0.013	0.004	0.021	0.226	0.059	0.023	0.029	0.002	n.a.	n.a.	0.003	n.a.	n.a.
95	NA	Dialysis_blank_concentrated	MQ 10b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	337.320	n.a.	125.255	6.175	n.a.	n.a.	n.a.	12.9895	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.027	0.749	n.a.	0.231	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
96	NA	Dialysis_blank_concentrated	MQ 7a	n.a.	n.a.	n.a.	n.a.	n.a.	23.873	188.269	n.a.	174.618	1.625	n.a.	n.a.	n.a.	12.2796	n.a.	0.032	n.a.	n.a.	n.a.	0.005	0.103	0.485	n.a.	0.309	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
97	NA	Dialysis_blank_concentrated	MQ 1c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1946.610	n.a.	291.985	5.526	n.a.	n.a.	n.a.	13.1875	n.a.	0.011	n.a.	n.a.	n.a.	n.a.	0.025	3.595	n.a.	0.494	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
98	0.0002	Standard	1:5.000 Std. Mix in HCl	n.a.	3.813	5.362	n.a.	6.553	n.a.	n.a.	n.a.	n.a.	3.381	4.928	5.576	0.374	13.6685	n.a.	0.026	0.017	0.056	0.026	0.059	0.046	0.080	0.029	0.026	0.002	0.004	0.002	0.003	n.a.	n.a.
99	NA	Dialysis_blank_concentrated	MQ 11a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	296.433	183.342	118.808	1.982	n.a.	n.a.	n.a.	20.7643	n.a.	0.009	n.a.	n.a.	n.a.	0.007	0.025	0.676	0.252	0.221	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
100	NA	Dialysis_blank_concentrated	MQ 9a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101	NA	Dialysis_blank_concentrated	MQ 6b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102	NA	Dialysis_blank_concentrated	MQ 12a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
103	NA	Dialysis_blank_concentrated	MQ 7b	100.288	146.387	121.557	271.2888	n.a.	123.502	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.137	0.203	0.537	0.396	0.013	0.298	0.101	0.004	0.022	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
104	NA	Blank	MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
105	NA	Blank	MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	345.611	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.072	n.a.	n.a.	n.a.	n.a.	n.a.
106	NA	Blank	MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	87.939	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.019	n.a.	n.a.	n.a.	n.a.	n.a.
107	NA	Blank	MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	87.483	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.008	n.a.	n.a.	0.019	n.a.	n.a.	n.a.	n.a.	n.a.
108	NA	Dialysis_blank_concentrated	MQ 9a	n.a.	n.a.	n.a.	n.a.	n.a.	30.190	1295.970	278.810	1427.261	92.220	n.a.	7.315	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.038	n.a.	0.115	2.444	0.364	2.281	0.020	n.a.	0.003	n.a.	n.a.	n.a.
109	NA	Dialysis_blank_concentrated	MQ 6b	25.444	n.a.	n.a.	n.a.	n.a.	n.a.	153.270	116.222	118.904	77.358	n.a.	n.a.	n.a.	n.a.	n.a.	0.062	n.a.	n.a.	n.a.	n.a.	0.024	0.423	0.174	0.221	0.017	n.a.	n.a.	n.a.	n.a.	n.a.
110	NA	Dialysis_blank_concentrated	MQ 12a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	67.516	99.473	99.834	67.938	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.032	n.a.	0.019	0.272	0.154	0.191	0.015	n.a.	n.a.	n.a.	n.a.	n.a.
111	NA	Dialysis_blank_concentrated	MQ 7b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	421.525	1011.747	967.779	61.283	n.a.	n.a.	n.a.	n.a.	n.a.	0.010	n.a.	n.a.	n.a.	n.a.	0.042	0.898	1.220	1.557	0.014	n.a.	n.a.	n.a.	n.a.	n.a.
112	NA	Dialysis_blank_concentrated	MQ 11c	n.a.	n.a.	n.a.	n.a.	n.a.	12.970	73.574	105.660	77.772	54.278	n.a.	n.a.	n.a.	n.a.	n.a.	0.020	n.a.	n.a.	n.a.	0.004	0.081	0.282	0.161	0.157	0.013	n.a.	n.a.	n.a.	n.a.	n.a.
113	NA	Dialysis_blank_concentrated	MQ 5c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	64.319	92.503	69.307	48.099	n.a.	n.a.	n.a.	n.a.	n.a.	0.009	n.a.	n.a.	n.a.	0.004	0.031	0.266	0.146	0.143	0.011	n.a.	n.a.	n.a.	n.a.	n.a.
114	NA	Dialysis_blank_concentrated	MQ 7c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	169.041	52.511	34.523	41.005	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.008	0.451	0.099	0.088	0.010	n.a.	n.a.	n.a.	n.a.	n.a.
115	NA	Dialysis_blank_concentrated	MQ 4b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	341.378	n.a.	254.352	35.918	n.a.	n.a.	n.a.	n.a.	n.a.	0.003	n.a.	n.a.	n.a.	n.a.	0.028	0.756	n.a.	0.435	0.009	n.a.	n.a.	n.a.	n.a.	n.a.
116	0.0004	Standard	1:2500 Std. Mix in HCl	1.995	11.004	11.341	1.6888	14.686	1.200	48.083	n.a.	2.802	50.561	20.586	12.549	n.a.	n.a.	n.a.	0.039	0.026	0.081	0.053	0.090	0.058	0.237	0.037	0.039	0.012	0.010	0.005	n.a.	n.a.	n.a.
117	NA	Dialysis_blank_concentrated	MQ 8b	n.a.	n.a.	n.a.	41.3914	n.a.	84.780	2567.516	n.a.	3521.376	30.085	n.a.	29.777	n.a.	n.a.	n.a.	0.019	n.a.	0.027	0.103	0.012	0.222	4.693	n.a.	5.577	0.008	n.a.	0.012	0.002	0.058	n.a.
118	NA	Dialysis_blank_concentrated	MQ 5b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	298.131	90.760	85.091	21.871	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.014	0.679	0.144	0.168	0.006	n.a.	n.a.	n.a.	0.056	n.a.
119	NA	Dialysis_blank_concentrated	MQ 12c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	119.111	54.286	31.638	23.360	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.006	0.363	0.101	0.084	0.006	n.a.	n.a.	n.a.	0.072	n.a.
120	NA	Dialysis_blank_concentrated	MQ 2c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	189.200	n.a.	215.637	22.031	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.009	0.487	n.a.	0.374	0.006	n.a.	n.a.	n.a.	0.076	n.a.
121	NA	Dialysis_blank_concentrated	MQ 10a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	112.670	116.801	117.096	23.673	n.a.	n.a.	n.a.	n.a.	n.a.	0.002	n.a.	n.a.	n.a.	n.a.	0.011	0.351	0.174	0.218	0.006	n.a.	n.a.	n.a.	0.073	n.a.
122	NA	Dialysis_blank_concentrated	MQ 11b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	194.616	152.289	150.812	21.576	n.a.	n.a.	n.a.	n.a.	n.a.	0.002	n.a.	n.a.	n.a.	n.a.	0.012	0.496	0.216	0.272	0.006	n.a.	n.a.	n.a.	0.088	n.a.
123	NA	Dialysis_blank_concentrated	MQ 4c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	135.633	25.371	48.899	14.160	n.a.	n.a.	n.a.	n.a.	n.a.	0.018	n.a.	n.a.	0.007	n.a.	0.011	0.392	0.067	0.111	0.004	n.a.	n.a.	n.a.	0.088	n.a.
124	NA	Dialysis_blank_concentrated	MQ 2a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	78.393	120.212	128.152	14.192	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.006	0.291	0.178	0.236	0.004	n.a.	n.a.	n.a.	0.081	n.a.
125	NA	Dialysis_blank_concentrated	MQ 10c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	269.695	78.157	156.887	15.562	n.a.	n.a.	n.a.	n.a.	n.a.	0.019	n.a.	n.a.	n.a.	n.a.	0.024	0.629	0.129	0.281	0.005	n.a.	n.a.	n.a.	0.080	n.a.
126	NA	Dialysis_blank_concentrated	MQ 2b	n.a.	n.a.	n.a.	n.a.	n.a.	52.133	254.708	103.552	139.182	13.701	n.a.	n.a.	n.a.	n.a.	n.a.	0.001	n.a.	n.a.	0.006	n.a.	0.158	0.603	0.159	0.253	0.004	n.a.	n.a.	n.a.	0.076	n.a.
127	0.001	Standard	1:1000 Std. Mix in HCl	48.677	38.988	39.088	31.9860	46.378	48.509	29.025	44.290	59.492	54.683	52.601	46.821	58.484	n.a.	n.a.	0.086	0.063	0.196	0.091	0.212	0.151	0.203	0.090	0.128	0.013	0.021	0.019	0.023	0.057	0.013
128	NA	Dialysis_blank_concentrated	MQ 5a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	191.140	127.332	106.756	10.107	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.008	0.490	0.187	0.202	0.003	n.a.	n.a.	n.a.	0.059	n.a.
129	NA	Dialysis_blank_concentrated	MQ 3c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	201.192	148.968	150.385	13.866	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.013	0.508	0.212	0.271	0.004	n.a.	n.a.	n.a.	0.054	n.a.
130	NA	Dialysis_blank_concentrated	MQ 3b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	155.783	103.386	183.656	7.806	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.011	0.428	0.159	0.323	0.003	n.a.	n.a.	n.a.	0.049	n.a.
131	NA	Dialysis_blank_concentrated	MQ 8a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	178.293	156.731	130.208	7.979	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.017	0.467	0.221	0.239	0.003	n.a.	n.a.	n.a.	0.047	n.a.
132	NA	Dialysis_blank_concentrated	MQ 1b	n.a.	n.a.	n.a.	n.a.	n.a.	3.097	180.460	103.827	97.497	7.931	n.a.	n.a.	n.a.	n.a.	n.a.	0.007	n.a.	n.a.	n.a.	n.a.	0.062	0.471	0.159	0.188	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
133	NA	Dialysis_blank_concentrated	MQ 8c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	87.727	126.741	101.927	9.640	n.a.	n.a.	n.a.	n.a.	n.a.	0.001	n.a.	n.a.	n.a.	n.a.	0.016	0.307	0.186	0.195	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
134	NA	Dialysis_blank_concentrated	MQ 6a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	195.328	153.317	169.225	4.924	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.009	0.498	0.217	0.301	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
135	NA	Dialysis_blank_concentrated	MQ 4a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	52.873	103.115	87.827	7.904	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.006	0.246	0.158	0.172	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
136	NA	S-WC2E	24a	104.874	n.a.	n.a.	n.a.	n.a.	178.071	n.a.	n.a.	n.a.	7.663	n.a.	n.a.	n.a.	n.a.	n.a.	0.142	n.a.	0.005	n.a.	0.007	0.404	0.067	0.017	0.021	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
137	NA	Dialysis_blank_concentrated	MQ 9c	n.a.	n.a.	24.909	n.a.	n.a.	n.a.	187.303	72.150	81.629	8.596	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.137	n.a.	n.a.	0.014	0.483	0.122	0.163	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
138	0.002	Standard	1:500 Std. Mix in HCl	111.249	80.763	82.531	80.6523	93.349	117.310	117.266	117.155	130.836	98.593	114.989	97.815	92.082	n.a.	n.a.	0.148	0.117	0.376	0.153	0.393	0.286	0.360	0.175	0.240	0.022	0.042	0.039	0.034	n.a.	0.027
139	NA	Dialysis_blank_concentrated	MQ 1a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	345.016	137.460	199.177	10.210	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.012	0.762	0.198	0.348	0.003	n.a.	n.a.	n.a.	n.a.	n.a.
140	NA	Dialysis_blank_concentrated	MQ 3a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	195.880	118.594	138.122	2.503	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.005	n.a.	0.012	0.499	0.176	0.252	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
141	NA	S-WC1E	22a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.875	n.a.	n.a.	n.a.	n.a.	n.a.	0.008	0.003	0.004	0.002	0.004	0.005	0.018	0.005	0.004	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
142	NA	Extraction_blank_bremen	40a	17.223	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	6.117	n.a.	n.a.	0.530	n.a.	n.a.	0.054	n.a.	n.a.	n.a.	n.a.	0.031	0.020	0.006	0.006	0.003	n.a.	n.a.	0.003	n.a.	n.a.
143	NA	Extraction_standard_high	48b	27.379	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.221	n.a.	n.a.	n.a.	n.a.	n.a.	0.064	n.a.	n.a.	n.a.	n.a.	0.010	0.019	0.003	0.003	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
144	NA	Extraction_standard_high	49b	42.640	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	4.076	n.a.	n.a.	n.a.	n.a.	n.a.	0.080	n.a.	n.a.	n.a.	n.a.	0.013	0.014	0.008	0.008	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
145	NA	S-WC4E	28c	176.824	n.a.	n.a.	n.a.	n.a.	320.950	n.a.	n.a.	n.a.	3.531	n.a.	n.a.	n.a.	n.a.	n.a.	0.214	0.005	0.007	0.001	0.005	0.684	0.049	0.018	0.028	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
146	NA	Extraction_standard_low	45a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.453	n.a.	n.a.	n.a.	n.a.	n.a.	0.025	n.a.	n.a.	n.a.	n.a.	0.014	0.011	n.a.	n.a.	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
147	NA	S-WC9I	38a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.634	n.a.	n.a.	n.a.	n.a.	n.a.	0.025	n.a.	n.a.	n.a.	0.005	0.051	0.045	0.005	0.018	0.001	n.a.	n.a.	n.a.	n.a.	n.a.
148	NA	A-WC1I	4b	836.296	2.343	n.a.	n.a.	n.a.	67.005	n.a.	n.a.	38.133	2.695	n.a.	n.a.	27.044	n.a.	n.a.	0.874	0.015	0.022	0.006	0.031	0.187	0.069	0.019	0.094	0.002	n.a.	n.a.	0.012	n.a.	n.a.
149	0.01	Standard	1:100 Std. Mix in HCl	536.790	437.097	403.490	420.1566	474.500	497.731	700.895	569.506	614.880	533.296	591.297	498.225	514.099	n.a.	327.2634	0.574	0.582	1.704	0.586	1.860	1.030	1.392	0.703	1.002	0.111	0.207	0.198	0.177	n.a.	0.163
150	NA	Extraction_standard_high	50a	71.025	n.a.	n.a.	n.a.	n.a.	1.015	n.a.	n.a.	n.a.	1.041	n.a.	n.a.	n.a.	n.a.	n.a.	0.108	n.a.	n.a.	n.a.	n.a.	0.058	0.050	0.003	0.007	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
151	NA	S-WC3I	27a	64.620	n.a.	n.a.	n.a.	n.a.	38.694	n.a.	n.a.	n.a.	1.627	n.a.	n.a.	n.a.	n.a.	n.a.	0.102	0.001	0.005	0.004	0.013	0.132	0.033	0.004	0.008	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
152	NA	Extraction_blank_bremen	41a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.465	n.a.	n.a.	n.a.	n.a.	n.a.	0.012	n.a.	n.a.	n.a.	n.a.	0.003	0.014	0.003	n.a.	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
153	NA	A-WC5E	12b	3.566	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.030	n.a.	n.a.	n.a.	n.a.	n.a.	0.041	0.005	0.009	0.001	0.013	0.038	0.040	0.014	0.023	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
154	NA	S-WC3E	26b	543.142	n.a.	n.a.	n.a.	n.a.	645.205	n.a.	n.a.	11.604	0.978	n.a.	n.a.	n.a.	n.a.	n.a.	0.581	0.001	0.006	n.a.	0.009	1.319	0.043	0.015	0.052	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
155	NA	Extraction_standard_low	46a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.752	n.a.	n.a.	n.a.	n.a.	n.a.	0.027	n.a.	n.a.	n.a.	n.a.	0.007	0.050	0.009	0.011	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
156	NA	S-WC5I	31c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	3.969	n.a.	n.a.	n.a.	n.a.	n.a.	0.017	0.003	0.007	0.001	0.008	0.020	0.048	0.009	0.012	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
157	NA	A-WC3I	9a	22.968	n.a.	n.a.	n.a.	n.a.	9.247	n.a.	n.a.	n.a.	3.912	n.a.	n.a.	n.a.	n.a.	n.a.	0.060	0.010	0.018	0.006	0.028	0.074	0.082	0.021	0.032	0.002	n.a.	n.a.	0.002	n.a.	n.a.
158	NA	Extraction_blank_finland	2b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	43.336	n.a.	34.835	3.368	n.a.	n.a.	n.a.	n.a.	n.a.	0.007	n.a.	n.a.	n.a.	n.a.	0.022	0.229	n.a.	0.089	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
159	NA	Extraction_standard_high	48a	34.653	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.134	n.a.	n.a.	n.a.	n.a.	n.a.	0.072	n.a.	n.a.	n.a.	n.a.	0.012	0.030	0.005	0.011	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
160	NA	Standard	1:100 Std. Neutral Mix in MQ	1245.422	1001.377	508.690	934.7170	499.320	864.258	1183.808	872.343	1212.916	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.284	1.319	2.139	1.241	1.956	1.748	2.246	1.057	1.943	0.001	n.a.	n.a.	n.a.	0.109	n.a.
161	NA	A-WC5E	12a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.022	n.a.	0.006	0.001	0.010	0.028	0.056	0.013	0.020	0.001	n.a.	n.a.	n.a.	n.a.	n.a.
162	NA	S-WC2E	24b	144.207	n.a.	n.a.	n.a.	n.a.	255.468	n.a.	n.a.	2.394	0.145	n.a.	n.a.	n.a.	n.a.	n.a.	0.181	0.007	0.013	0.011	0.019	0.556	0.084	0.024	0.038	0.001	n.a.	n.a.	n.a.	n.a.	n.a.
163	NA	S-WC3I	27c	90.216	n.a.	n.a.	n.a.	n.a.	69.487	n.a.	7.085	14.085	0.491	n.a.	n.a.	n.a.	n.a.	n.a.	0.127	0.007	0.012	0.003	0.010	0.192	0.127	0.046	0.056	0.001	n.a.	n.a.	n.a.	n.a.	n.a.
164	NA	S-WC2I	25a	9.610	n.a.	n.a.	n.a.	n.a.	16.881	n.a.	n.a.	n.a.	0.298	n.a.	n.a.	n.a.	n.a.	n.a.	0.047	0.001	0.002	0.000	0.003	0.089	0.069	0.013	0.016	0.001	n.a.	n.a.	n.a.	n.a.	n.a.
165	NA	Extraction_blank_bremen	42a	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.770	n.a.	n.a.	n.a.	n.a.	n.a.	0.019	n.a.	n.a.	n.a.	n.a.	0.045	0.029	0.002	0.002	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
166	NA	Extraction_blank_finland	1b	3.968	n.a.	n.a.	n.a.	n.a.	63.711	n.a.	n.a.	n.a.	1.649	n.a.	n.a.	n.a.	n.a.	n.a.	0.041	0.001	0.003	0.001	0.002	0.181	0.038	0.010	0.010	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
167	NA	Extraction_blank_bremen	44b	3.055	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	2.086	n.a.	n.a.	n.a.	n.a.	n.a.	0.040	n.a.	n.a.	n.a.	n.a.	0.054	0.039	0.007	0.003	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
168	NA	Dialysis_blank	MQ 2a 1:25	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	1.181	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.023	0.009	0.012	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
169	NA	Dialysis_blank	MQ 8a 1:25	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.387	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.047	0.021	0.013	0.001	n.a.	n.a.	n.a.	n.a.	n.a.
170	NA	Dialysis_blank	MQ 12a 1:25	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.921	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.005	0.010	0.002	n.a.	0.002	n.a.	n.a.	n.a.	n.a.	n.a.
171	NA	Standard	1:10.000 Std. Neutral Mix in MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.970	n.a.	n.a.	n.a.	n.a.	n.a.	0.011	0.009	0.019	0.015	0.018	0.015	0.018	0.003	0.007	0.002	n.a.	n.a.	n.a.	0.066	n.a.
